Country,Population,Percent Overweight,Number Overweight,Number Not Overweight,Diagnoses in Overweight People,Diagnoses in Not Overweight People,Total Diagnoses,Estimated Undiagnosed Diabetes,Percent of Population with Undiagnosed Diabetes
Kyrgyzstan,6132932,45,2759819.4,3373112.6,1998109.2455999998,333938.1474,2332047.3929999997,932818.9572,15.209999999999999
Kuwait,4197128,72,3021932.1599999997,1175195.8400000003,2187878.88384,116344.38816000003,2304223.272,921689.3088,21.959999999999997
Oman,4829946,56,2704769.7600000002,2125176.2399999998,1958253.30624,210392.44775999998,2168645.754,867458.3016000001,17.960000000000004
Croatia,4164783,64,2665461.12,1499321.88,1929793.85088,148432.86612,2078226.717,831290.6868,19.96
Togo,7990926,25,1997731.5,5993194.5,1446357.606,593326.2555,2039683.8614999999,815873.5446,10.209999999999999
Sierra Leone,7719729,24,1852734.96,5866994.04,1341380.1110399999,580832.4099600001,1922212.521,768885.0084,9.96
Panama,4162618,58,2414318.44,1748299.56,1747966.55056,173081.65644000002,1921048.207,768419.2828,18.46
Georgia,3907131,57,2227064.67,1680066.33,1612394.82108,166326.56667000003,1778721.38775,711488.5551,18.21
Singapore,5791901,33,1911327.33,3880573.67,1383800.98692,384176.79333,1767977.78025,707191.1121,12.21
Moldova,4041065,54,2182175.1,1858889.9,1579894.7724000001,184030.1001,1763924.8725,705569.949,17.46
Uruguay,3469551,64,2220512.64,1249038.3599999999,1607651.15136,123654.79763999999,1731305.949,692522.3796000001,19.960000000000004
Laos,6961210,22,1531466.2,5429743.8,1108781.5288,537544.6362,1646326.165,658530.466,9.46
Bosnia and Herzegovina,3503554,56,1961990.2400000002,1541563.7599999998,1420480.9337600002,152614.81224,1573095.7460000003,629238.2984000002,17.960000000000008
Congo,5399895,28,1511970.6,3887924.4,1094666.7144,384904.5156,1479571.23,591828.492,10.959999999999999
Qatar,2694849,70,1886394.2999999998,808454.7000000002,1365749.4732,80037.01530000003,1445786.4885,578314.5954,21.459999999999997
Lithuania,2876475,62,1783414.5,1093060.5,1291192.098,108212.98950000001,1399405.0875,559762.035,19.46
Albania,2934363,58,1701930.5399999998,1232432.4600000002,1232197.7109599998,122010.81354000003,1354208.5244999998,541683.4097999999,18.459999999999997
Mongolia,3121772,53,1654539.1600000001,1467232.8399999999,1197886.3518400001,145256.05116,1343142.4030000002,537256.9612000001,17.210000000000004
Mauritania,4540068,31,1407421.08,3132646.92,1018972.86192,310132.04508,1329104.9070000001,531641.9628000001,11.710000000000003
Liberia,4853516,27,1310449.32,3543066.6799999997,948765.30768,350763.60131999996,1299528.909,519811.5636,10.71
Jamaica,2898677,55,1594272.35,1304404.65,1154253.1814000001,129136.06035,1283389.24175,513355.69670000003,17.71
Central African Republic,4737423,23,1089607.29,3647815.71,788875.67796,361133.75529,1150009.43325,460003.7733,9.71
Eritrea,5187948,19,985710.12,4202237.88,713654.12688,416021.55012,1129675.6770000001,451870.27080000006,8.71
Slovenia,2081260,60,1248756.0,832504.0,904099.3439999999,82417.89600000001,986517.24,394606.896,18.96
Latvia,1929938,61,1177262.18,752675.8200000001,852337.81832,74514.90618,926852.7245,370741.0898,19.21
