Entity,pop,Code,Year,"Indicator:Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%) - Age Group:18+  years - Sex:Both sexes (%)"
South Africa,57398421,ZAF,2016,51.9
South Korea,51164435,KOR,2016,32.1
Spain,46397452,ESP,2016,67.2
Sri Lanka,20950041,LKA,2016,24.2
Sudan (former),41511526,,2016,25.7
Suriname,568301,SUR,2016,59
Swaziland,1391385,SWZ,2016,33
Sweden,9982709,SWE,2016,59.9
Switzerland,8544034,CHE,2016,57.9
Syria,18284407,SYR,2016,57.9
Tajikistan,9107211,TJK,2016,41.7
Tanzania,59091392,TZA,2016,24.5
Thailand,69183173,THA,2016,34.7
Timor,1324094,TLS,2016,17.9
Togo,7990926,TGO,2016,25
Tonga,109008,TON,2016,75.6
Trinidad and Tobago,1372598,TTO,2016,48.1
Tunisia,11659174,TUN,2016,62.2
Turkey,81916871,TUR,2016,66.9
Turkmenistan,5851466,TKM,2016,49.6
Tuvalu,11287,TUV,2016,81
Uganda,44270563,UGA,2016,19
Ukraine,44009214,UKR,2016,61.9
United Arab Emirates,9541615,ARE,2016,65.9
United Kingdom,66573504,GBR,2016,67.2
United States,326766748,USA,2016,70.2
Uruguay,3469551,URY,2016,64.5
Uzbekistan,32364996,UZB,2016,45.7
Vanuatu,282117,VUT,2016,54.1
Venezuela,32381221,VEN,2016,62.6
Vietnam,96491146,VNM,2016,18.3
Yemen,28915284,YEM,2016,42.3
Zambia,17609178,ZMB,2016,23.9
Zimbabwe,16913261,ZWE,2016,32.4
,,,,48.43763441
